,name,number_of_voters,panel_code,panel_name,tab
0,Chiong Yoke Kong (PH - DAP),"45.2% (8,821)",N1,TANAH RATA (P78),state
1,Leong Tak Man (BN - MCA),"26.8% (5,232)",N1,TANAH RATA (P78),state
2,Kumar Silambaram (PAS),3.1% (600),N1,TANAH RATA (P78),state
3,Wan Rosdy Wan Ismail (BN - UMNO),"46.7% (5,858)",N2,JELAI (P78),state
4,Abdul Karim Nor (PAS),"18.7% (2,351)",N2,JELAI (P78),state
5,Abdul Rasid Mohamed Ali (PH - PPBM),"10.3% (1,298)",N2,JELAI (P78),state
6,Mat Nor Ayat (PSM),1.8% (229),N2,JELAI (P78),state
7,Mustapa Long (BN - UMNO),"40.5% (5,691)",N3,PADANG TENGKU (P79),state
8,Roslan Harun (PAS),"31.6% (4,447)",N3,PADANG TENGKU (P79),state
9,Alias Abd Rahman (PH - PPBM),"9.3% (1,303)",N3,PADANG TENGKU (P79),state
10,Lee Ah Wong (BN - MCA),"27.6% (3,475)",N4,CHEKA (P79),state
11,Saludin Endol (PAS),"26.0% (3,273)",N4,CHEKA (P79),state
12,Rasid Muhamad (PH - PKR),"23.3% (2,930)",N4,CHEKA (P79),state
13,Mohd Soffi Abd Razak (BN - UMNO),"37.7% (3,261)",N5,BENTA (P79),state
14,Sabaruddin Mohd Yassim (PH - PKR),"33.8% (2,921)",N5,BENTA (P79),state
15,Anuar Kassim (PAS),8.5% (739),N5,BENTA (P79),state
16,Abd Aziz Mat Kiram (BN - UMNO),"45.6% (6,922)",N6,BATU TALAM (P80),state
17,Tengku Abdul Rahman Tengku Ja'afar (PAS),"17.1% (2,602)",N6,BATU TALAM (P80),state
18,Dasimah Zainudin (PH - PKR),"16.1% (2,441)",N6,BATU TALAM (P80),state
19,Chow Yu Hui (PH - DAP),"54.2% (15,660)",N7,TRAS (P80),state
20,Ng Leap Pong (BN - MCA),"19.7% (5,707)",N7,TRAS (P80),state
21,Chin Choy Hee (PAS),"5.2% (1,506)",N7,TRAS (P80),state
22,Shahiruddin Ab Moin (BN - UMNO),"46.2% (6,294)",N8,DONG (P80),state
23,Bedu Rahim Ismail (PAS),"18.1% (2,462)",N8,DONG (P80),state
24,Hamzah Jaaffar (PH - AMANAH),"17.2% (2,342)",N8,DONG (P80),state
25,Mohd Zakhwan Ahmad Badarddin (PAS),"37.1% (5,638)",N9,TAHAN (P81),state
26,Wan Amizan Wan Abdul Razak (BN - UMNO),"36.6% (5,569)",N9,TAHAN (P81),state
27,Nordin Samat (PH - PPBM),6.2% (945),N9,TAHAN (P81),state
28,Zuridan Mohd Daud (PAS),"33.6% (8,444)",N10,DAMAK (P81),state
29,Wong Chun Yuan (PH - PKR),"27.8% (6,988)",N10,DAMAK (P81),state
30,Lim Chong Ly (BN - MCA),"17.5% (4,395)",N10,DAMAK (P81),state
31,Nazri Ngah (BN - UMNO),"36.3% (8,446)",N11,PULAU TAWAR (P81),state
32,Ahmad Naawi Samah (PAS),"33.8% (7,859)",N11,PULAU TAWAR (P81),state
33,Jamaluddin Abd Rahim (PH - AMANAH),"8.5% (1,973)",N11,PULAU TAWAR (P81),state
34,Andansura Rabu (PAS),"31.6% (12,239)",N12,BESERAH (P82),state
35,Zulkifli Mohamed (PH - AMANAH),"28.2% (10,934)",N12,BESERAH (P82),state
36,Suhaimi Jusoh @ Sulong (BN - UMNO),"22.6% (8,732)",N12,BESERAH (P82),state
37,Lee Chean Chung (PH - PKR),"39.0% (14,991)",N13,SEMAMBU (P82),state
38,Mohd Yusof Hashin (PAS),"24.6% (9,480)",N13,SEMAMBU (P82),state
39,Quek Tai Seong (BN - MCA),"19.0% (7,323)",N13,SEMAMBU (P82),state
40,Sim Chon Siang (PH - PKR),"49.4% (12,227)",N14,TERUNTUM (P83),state
41,Tee Choon Ser (BN - MCA),"18.2% (4,502)",N14,TERUNTUM (P83),state
42,Azizah Mohd Ali (PAS),"12.3% (3,039)",N14,TERUNTUM (P83),state
43,Rosli Abdul Jabar (PAS),"32.6% (8,198)",N15,TANJUNG LUMPUR (P83),state
44,Tengku Zulkifly Tengku Ahmad (BN - UMNO),"27.3% (6,859)",N15,TANJUNG LUMPUR (P83),state
45,Sabrina Md Yusoff (PH - AMANAH),"22.4% (5,622)",N15,TANJUNG LUMPUR (P83),state
46,Shafik Fauzan Sharif (BN - UMNO),"43.4% (5,568)",N16,INDERAPURA (P83),state
47,Wan Maseri Wan Mohd (PAS),"26.5% (3,403)",N16,INDERAPURA (P83),state
48,Fakhrul Anuar Zulkawi (PH - PKR),"14.1% (1,806)",N16,INDERAPURA (P83),state
49,Md Sohaimi Mohamed Shah (BN - UMNO),"36.9% (5,436)",N17,SUNGAI LEMBING (P84),state
50,Mohamad Hazmi Dibok (PAS),"23.5% (3,468)",N17,SUNGAI LEMBING (P84),state
51,Fauzi Abdul Rahman (PH - PKR),"18.2% (2,687)",N17,SUNGAI LEMBING (P84),state
52,Abd Rahim Muda (BN - UMNO),"37.0% (6,500)",N18,LEPAR (P84),state
53,Nur Ad-din Ibrahim (PH - AMANAH),"21.2% (3,721)",N18,LEPAR (P84),state
54,Mohd Nor Hisam Muhammad (PAS),"20.3% (3,569)",N18,LEPAR (P84),state
55,Mohd Tarmizi Yahaya (PAS),"31.3% (7,143)",N19,PANCHING (P84),state
56,Mohd Zaili Besar (BN - UMNO),"30.7% (7,008)",N19,PANCHING (P84),state
57,Kamarzaman Mohamed Yunus (PH - PKR),"19.7% (4,490)",N19,PANCHING (P84),state
58,Benzin Dagok (IND),0.2% (42),N19,PANCHING (P84),state
59,Khairuddin Mahmud (BN - UMNO),"40.6% (8,282)",N20,PULAU MANIS (P85),state
60,Zainuddin Noh (PAS),"29.2% (5,948)",N20,PULAU MANIS (P85),state
61,Abu Bakar Lebai Sudin (PH - DAP),"10.3% (2,101)",N20,PULAU MANIS (P85),state
62,Sh Mohamed Puzi Sh Ali (BN - UMNO),"47.8% (15,433)",N21,PERAMU JAYA (P85),state
63,Abu Kassim Manaf (PAS),"25.6% (8,251)",N21,PERAMU JAYA (P85),state
64,Salim Abd Majid (PH - PPBM),"8.2% (2,644)",N21,PERAMU JAYA (P85),state
65,Mohammad Fakhruddin Mohd Ariff (BN - UMNO),"54.6% (8,172)",N22,BEBAR (P85),state
66,Mohd Nazhar Othman (PAS),"16.4% (2,452)",N22,BEBAR (P85),state
67,Afif Syairol Abdul Rahim (PH - PPBM),6.5% (968),N22,BEBAR (P85),state
68,Abu Bakar Harun (BN - UMNO),"47.2% (10,027)",N23,CHINI (P85),state
69,Mohd Fadhil Noor Abdul Karim (PAS),"25.4% (5,405)",N23,CHINI (P85),state
70,Mohamad Razali Ithnain (PH - PKR),"5.0% (1,065)",N23,CHINI (P85),state
71,Mohd Sofian Abd Jalil (PAS),"34.5% (4,238)",N24,LUIT (P86),state
72,Nurhidayah Mohamad Shahaimi (BN - UMNO),"32.3% (3,966)",N24,LUIT (P86),state
73,Rosli Amin (PH - PKR),"12.9% (1,582)",N24,LUIT (P86),state
74,Shahaniza Shamsuddin (BN - UMNO),"41.5% (5,541)",N25,KUALA SENTUL (P86),state
75,Fazil Azmi Nadzri (PAS),"26.2% (3,502)",N25,KUALA SENTUL (P86),state
76,Bostamin Bakar (PH - PKR),"9.7% (1,299)",N25,KUALA SENTUL (P86),state
77,Mujibur Rahman Ishak (PAS),"39.1% (6,016)",N26,CHENOR (P86),state
78,Mohamed Arifin Awang Ismail (BN - UMNO),"35.7% (5,502)",N26,CHENOR (P86),state
79,Zuliana Mohamed (PH - PPBM),"6.7% (1,035)",N26,CHENOR (P86),state
80,Mohamed Jaafar (BN - UMNO),"39.9% (4,213)",N27,JENDERAK (P87),state
81,Abdullah Yusoh (PAS),"23.7% (2,500)",N27,JENDERAK (P87),state
82,Faizah Baharom (PH - PPBM),"15.3% (1,622)",N27,JENDERAK (P87),state
83,Syed Ibrahim Syed Ahmad (BN - UMNO),"43.9% (5,255)",N28,KERDAU (P87),state
84,Aireroshairi Roslan (PAS),"27.7% (3,321)",N28,KERDAU (P87),state
85,Adnan Abdul Manaf (PH - AMANAH),"10.8% (1,298)",N28,KERDAU (P87),state
86,Shahril Azman Abd Halim (PAS),"40.9% (10,111)",N29,JENGKA (P87),state
87,Wan Salman Wan Ismail (BN - UMNO),"33.6% (8,298)",N29,JENGKA (P87),state
88,Jalani Ludin (PH - AMANAH),"7.0% (1,722)",N29,JENGKA (P87),state
89,Woo Chee Wan (PH - DAP),"41.5% (10,547)",N30,MENTAKAB (P88),state
90,Abirerah Awang Chik (PAS),"18.6% (4,718)",N30,MENTAKAB (P88),state
91,Wong Tat Chee @ Wong Tai Chee (BN - MCA),"17.9% (4,548)",N30,MENTAKAB (P88),state
92,Chuah Boon Seong (IND),3.8% (956),N30,MENTAKAB (P88),state
93,Mohd Sharkar Shamsudin (BN - UMNO),"37.2% (8,824)",N31,LANCHANG (P88),state
94,Abas Awang (PH - PKR),"21.5% (5,099)",N31,LANCHANG (P88),state
95,Hasan Omar (PAS),"20.4% (4,836)",N31,LANCHANG (P88),state
96,Mohd Khaidir Ahmad (IND),0.3% (80),N31,LANCHANG (P88),state
97,Nor Azmi Mat Ludin (BN - UMNO),"30.4% (7,880)",N32,KUALA SEMANTAN (P88),state
98,Hassanuddin Salim (PAS),"28.5% (7,406)",N32,KUALA SEMANTAN (P88),state
99,Syed Hamid Syed Mohamed (PH - AMANAH),"23.5% (6,095)",N32,KUALA SEMANTAN (P88),state
100,Lee Chin Chen (PH - DAP),"46.1% (8,798)",N33,BILUT (P89),state
101,Poo Mun Hoong (BN - MCA),"26.5% (5,059)",N33,BILUT (P89),state
102,Mohd Zamri Nong (PAS),"10.2% (1,944)",N33,BILUT (P89),state
103,Young Syefura Othman (PH - DAP),"42.0% (9,873)",N34,KETARI (P89),state
104,Lau Hoi Keong (BN - GERAKAN),"26.2% (6,163)",N34,KETARI (P89),state
105,Roslan Md Esa (PAS),"13.9% (3,260)",N34,KETARI (P89),state
106,Kamache Doray Rajoo (PH - DAP),"36.5% (4,374)",N35,SABAI (P89),state
107,Goonasakaren Raman (BN - MIC),"32.4% (3,879)",N35,SABAI (P89),state
108,Mohd Khairuddin Abdullah (PAS),"10.9% (1,308)",N35,SABAI (P89),state
109,Karunaneethi Thangavel (IND),1.2% (145),N35,SABAI (P89),state
110,Adnan Yaakob (BN - UMNO),"42.3% (5,410)",N36,PELANGAI (P89),state
111,Nor Haizan Abu Hassan (PH - AMANAH),"24.2% (3,098)",N36,PELANGAI (P89),state
112,Zaharim Osman (PAS),"14.2% (1,817)",N36,PELANGAI (P89),state
113,Norolazali Sulaiman (BN - UMNO),"42.1% (8,147)",N37,GUAI (P90),state
114,Mohd Shahrul Mohamed (PAS),"25.1% (4,852)",N37,GUAI (P90),state
115,Ahmad Majdil Fauzi Abd Aziz (PH - AMANAH),"13.2% (2,547)",N37,GUAI (P90),state
116,Leong Yu Man (PH - DAP),"55.9% (11,222)",N38,TRIANG (P90),state
117,Tan Tin Loon (BN - GERAKAN),"23.7% (4,768)",N38,TRIANG (P90),state
118,Mohd Fadil Osman (BN - UMNO),"43.7% (8,430)",N39,KEMAYAN (P90),state
119,Manolan Mohamad (PH - PKR),"19.8% (3,812)",N39,KEMAYAN (P90),state
120,Md Yusof Che Din (PAS),"16.9% (3,265)",N39,KEMAYAN (P90),state
121,Samsiah Arshad (BN - UMNO),"41.4% (9,448)",N40,BUKIT IBAM (P91),state
122,Nazri Ahmad (PAS),"30.6% (6,970)",N40,BUKIT IBAM (P91),state
123,Zulkurnain Mohamad Ridzuan (PH - PPBM),"9.3% (2,126)",N40,BUKIT IBAM (P91),state
124,Razali Kassim (BN - UMNO),"44.9% (9,081)",N41,MUADZAM SHAH (P91),state
125,Ramli Awang Ahmat (PAS),"21.0% (4,241)",N41,MUADZAM SHAH (P91),state
126,Osman A Bakar (PH - PPBM),"13.8% (2,781)",N41,MUADZAM SHAH (P91),state
127,Mohd Johari Hussain (BN - UMNO),"35.2% (6,662)",N42,TIOMAN (P91),state
128,Md Yunus Ramli (PAS),"28.5% (5,382)",N42,TIOMAN (P91),state
129,Ahmad Sazili Mohd Nor (PH - AMANAH),"16.0% (3,029)",N42,TIOMAN (P91),state
130,Mohd Zolfakar Taib (IND),0.3% (58),N42,TIOMAN (P91),state
