year,coalition,coalition_name,coalition_name_bahasa,party,party_name,party_color,coalition_color
2004,BA,Alternative Front,Barisan Alternatif,PAS,Pan-Malaysian Islamic Party,#009000,#ed161e
2004,BA,Alternative Front,Barisan Alternatif,PKR,People's Justice Party,#00ADEF,#ed161e
2004,BN,National Front,Barisan Nasional,UMNO,United Malays National Organisation,#E62020,#000080
2004,BN,National Front,Barisan Nasional,MCA,Malaysian Chinese Association,#0000FF,#000080
2004,BN,National Front,Barisan Nasional,GERAKAN,Malaysian People's Movement Party,#FF0000,#000080
2004,BN,National Front,Barisan Nasional,MIC,Malaysian Indian Congress,#29AB87,#000080
2004,BN,National Front,Barisan Nasional,SUPP,Sarawak United People's Party,yellow,#000080
2004,BN,National Front,Barisan Nasional,PBB,United Traditional Bumiputera Party,red,#000080
2004,BN,National Front,Barisan Nasional,UPKO,United Pasokmomogun Kadazandusun Murut Organisation,#00008B,#000080
2004,BN,National Front,Barisan Nasional,SPDP,Sarawak Progressive Democratic Party,#FFFF00,#000080
2004,BN,National Front,Barisan Nasional,PBDS,Parti Bansa Dayak Sarawak,,#000080
2004,BN,National Front,Barisan Nasional,PBS,United Sabah Party,#ADD8E6,#000080
2004,BN,National Front,Barisan Nasional,PPP,People's Progressive Party,#DAA520,#000080
2004,BN,National Front,Barisan Nasional,SAPP,Sabah Progressive Party,#F8F6BC,#000080
2004,BN,National Front,Barisan Nasional,LDP,Liberal Democratic Party,#FF7F00,#000080
2004,BN,National Front,Barisan Nasional,PBRS,United Sabah People's Party,#FEDF00,#000080
2004,,,,DAP,Democratic Action Party,#ED1C24,
2004,,,,SNAP,Sarawak National Party,#717190,
2004,,,,STAR,State Reform Party,#E8C0F2,
2004,,,,SETIA,United Democratic Sabah People's Power Party,,
2004,,,,MDP,Malaysian Democratic Party,,
2004,,,,PASOK,United Pasok Nunukragang National Organisation,,
2004,,,,IND,Independents,#DCDCDC,
2008,BN,National Front,Barisan Nasional,UMNO,United Malays National Organisation,#E62020,#000080
2008,BN,National Front,Barisan Nasional,MCA,Malaysian Chinese Association,#0000FF,#000080
2008,BN,National Front,Barisan Nasional,GERAKAN,Malaysian People's Movement Party,#FF0000,#000080
2008,BN,National Front,Barisan Nasional,MIC,Malaysian Indian Congress,#29AB87,#000080
2008,BN,National Front,Barisan Nasional,PBB,United Traditional Bumiputera Party,red,#000080
2008,BN,National Front,Barisan Nasional,SUPP,Sarawak United People's Party,yellow,#000080
2008,BN,National Front,Barisan Nasional,UPKO,United Pasokmomogun Kadazandusun Murut Organisation,#00008B,#000080
2008,BN,National Front,Barisan Nasional,SPDP,Sarawak Progressive Democratic Party,#FFFF00,#000080
2008,BN,National Front,Barisan Nasional,PBS,United Sabah Party,#ADD8E6,#000080
2008,BN,National Front,Barisan Nasional,PRS,Sarawak People's Party,green,#000080
2008,BN,National Front,Barisan Nasional,SAPP,Sabah Progressive Party,#F8F6BC,#000080
2008,BN,National Front,Barisan Nasional,PPP,People's Progressive Party,#DAA520,#000080
2008,BN,National Front,Barisan Nasional,LDP,Liberal Democratic Party,#FF7F00,#000080
2008,BN,National Front,Barisan Nasional,PBRS,United Sabah People's Party,#FEDF00,#000080
2008,PR,People's Pact,Pakatan Rakyat,PKR,People's Justice Party,#00ADEF,#f05922
2008,PR,People's Pact,Pakatan Rakyat,PAS,Pan-Malaysian Islamic Party,#009000,#f05922
2008,PR,People's Pact,Pakatan Rakyat,DAP,Democratic Action Party,#ED1C24,#f05922
2008,,,,PRM,Malaysian People's Party,,
2008,,,,SNAP,Sarawak National Party,#717190,
2008,,,,PASOK,United Pasok Nunukragang National Organisation,,
2008,,,,BERSEKUTU,Federated Sabah People's Front,,
2008,,,,IND,Independents,#DCDCDC,
2013,BN,National Front,Barisan Nasional,UMNO,United Malays National Organisation,#e62020,#000080
2013,BN,National Front,Barisan Nasional,MCA,Malaysian Chinese Association,#00f,#000080
2013,BN,National Front,Barisan Nasional,MIC,Malaysian Indian Congress,#29ab87,#000080
2013,BN,National Front,Barisan Nasional,PBB,United Traditional Bumiputera Party,red,#000080
2013,BN,National Front,Barisan Nasional,GERAKAN,Malaysian People's Movement Party,#f00,#000080
2013,BN,National Front,Barisan Nasional,SUPP,Sarawak United People's Party,yellow,#000080
2013,BN,National Front,Barisan Nasional,PBS,United Sabah Party,#add8e6,#000080
2013,BN,National Front,Barisan Nasional,PRS,Sarawak People's Party,green,#000080
2013,BN,National Front,Barisan Nasional,SPDP,Sarawak Progressive Democratic Party,#ff0,#000080
2013,BN,National Front,Barisan Nasional,UPKO,United Pasokmomogun Kadazandusun Murut Organisation,darkBlue,#000080
2013,BN,National Front,Barisan Nasional,LDP,Liberal Democratic Party,#ff7f00,#000080
2013,BN,National Front,Barisan Nasional,PBRS,United Sabah People's Party,#fedf00,#000080
2013,BN,National Front,Barisan Nasional,PPP,People's Progressive Party,#daa520,#000080
2013,PR,People's Pact,Pakatan Rakyat,DAP,Democratic Action Party,#ED1C24,#f05922
2013,PR,People's Pact,Pakatan Rakyat,PKR,People's Justice Party,#00ADEF,#f05922
2013,PR,People's Pact,Pakatan Rakyat,PAS,Pan-Malaysian Islamic Party,#009000,#f05922
2013,,,,STAR,State Reform Party,#E8C0F2,
2013,,,,BERJASA,Pan-Malaysian Islamic Front,#730947,
2013,,,,SWP,Sarawak Workers Party,#E2E2C0,
2013,,,,SAPP,Sabah Progressive Party,#F8F6BC,
2013,,,,PCM,Love Malaysia Party,#DAE2EA,
2013,,,,KITA,People's Welfare Party,#F2D6C0,
2013,,,,MUPP,Malaysian United People's Party,#F2D8D8,
2013,,,,IND,Independents,#DCDCDC,
2018,BN,National Front,Barisan Nasional,UMNO,United Malays National Organisation,#F21415,#000080
2018,BN,National Front,Barisan Nasional,PBB,United Bumiputera Heritage Party,#F0E98B,#000080
2018,BN,National Front,Barisan Nasional,PRS,Sarawak People's Party,#57D757,#000080
2018,BN,National Front,Barisan Nasional,MIC,Malaysian Indian Congress,#00A988,#000080
2018,BN,National Front,Barisan Nasional,PDP,Progressive Democratic Party,#6ABFE6,#000080
2018,BN,National Front,Barisan Nasional,MCA,Malaysian Chinese Association,#0000FF,#000080
2018,BN,National Front,Barisan Nasional,SUPP,Sarawak United People's Party,#FFFF00,#000080
2018,BN,National Front,Barisan Nasional,PBS,United Sabah Party,#ADD8E6,#000080
2018,BN,National Front,Barisan Nasional,UPKO,United Pasokmomogun Kadazandusun Murut Organisation,#ABCDFF,#000080
2018,BN,National Front,Barisan Nasional,PBRS,United Sabah People's Party,#FEDF00,#000080
2018,BN,National Front,Barisan Nasional,GERAKAN,Malaysian People's Movement Party,#FF0000,#000080
2018,BN,National Front,Barisan Nasional,LDP,Liberal Democratic Party,#FF7F00,#000080
2018,BN,National Front,Barisan Nasional,MYPPP,People's Progressive Party,#DAA520,#000080
2018,GS,Ideas of Prosperity,Gagasan Sejahtera,PAS,Pan-Malaysian Islamic Party,#009000,#008800
2018,GS,Ideas of Prosperity,Gagasan Sejahtera,IKATAN,Malaysian National Alliance Party,#CD2122,#008800
2018,GS,Ideas of Prosperity,Gagasan Sejahtera,BERJASA,Pan-Malaysian Islamic Front,#730947,#008800
2018,GS,Ideas of Prosperity,Gagasan Sejahtera,PCM,Love Malaysia Party,#DAE2EA,#008800
2018,PH,Alliance of Hope,Pakatan Harapan,PKR,People's Justice Party,#00ADEF,#ED1C24
2018,PH,Alliance of Hope,Pakatan Harapan,DAP,Democratic Action Party,#ED1C24,#ED1C24
2018,PH,Alliance of Hope,Pakatan Harapan,PPBM,Malaysian United Indigenous Party,#E62020,#ED1C24
2018,PH,Alliance of Hope,Pakatan Harapan,AMANAH,National Trust Party,#FFA009,#ED1C24
2018,,,,WARISAN,Sabah Heritage Party,#A4E5FC,
2018,USA,United Sabah Alliance,,STAR,Homeland Solidarity Party,#78D7F5,#1A1A1A
2018,USA,United Sabah Alliance,,PHRS,Sabah People's Hope Party,#6F92C0,#1A1A1A
2018,USA,United Sabah Alliance,,SAPP,Sabah Progressive Party,#F8F6BC,#1A1A1A
2018,USA,United Sabah Alliance,,PPRS,Sabah People's Unity Party,#FFCD00,#1A1A1A
2018,,,,PCS,Love Sabah Party,#FB5B47,
2018,,,,PSM,Socialist Party of Malaysia,#800000,
2018,,,,PRM,Malaysian People's Party,#F8F9FA,
2018,,,,MUP,Malaysian United Party,#F617D4,
2018,,,,STAR,State Reform Party,#E8C0F2,
2018,,,,ANAK NEGERI,Sabah Native Co-operation Party,#F49950,
2018,,,,PEACE,Peopleâ€™s Alliance For Justice of Peace,#74764D,
2018,,,,PFP,Penang Front Party,#E45035,
2018,,,,PBDSB,New Sarawak Native People's Party,#E0F810,
2018,,,,PBK,Land of the Hornbill Party,#FBC625,
2018,,,,PAP,People's Alternative Party,#EDFBFF,
2018,,,,IND,Independents,#DCDCDC,
2022,,,,IND,Independents,#DCDCDC,
2022,,,,KDM,Social Democratic Harmony Party,#F6787F,
2022,,,,PBDS,Parti Bansa Dayak Sarawak,#fbeb0b,
2022,,,,PBK,Land of the Hornbill Party,#FBC625,
2022,,,,PBM,Parti Bangsa Malaysia,#6129aa,
2022,,,,PPRS,Sabah People's Unity Party,#FFCD00,
2022,,,,PRM,Malaysian People's Party,#D00000,
2022,,,,PSB,Parti Sarawak Bersatu,#FDF642,
2022,,,,PSM,Socialist Party of Malaysia,#800000,
2022,,,,PUR,People First Party,,
2022,,,,SEDAR,Parti Sedar Rakyat Sarawak,#f5e800,
2022,,,,WARISAN,Sabah Heritage Party,#A4E5FC,
2022,BN,National Front,Barisan Nasional,IPF,All Malaysian Indian Progressive Front,#d6242a,#000080
2022,BN,National Front,Barisan Nasional,KIMMA,Malaysian Indian Muslim Congress,#FFCC00,#000080
2022,BN,National Front,Barisan Nasional,MCA,Malaysian Chinese Association,#0000FF,#000080
2022,BN,National Front,Barisan Nasional,MIC,Malaysian Indian Congress,#29AB87,#000080
2022,BN,National Front,Barisan Nasional,MMSP,Malaysia Makkal Sakti Party ,#EF8611,#000080
2022,BN,National Front,Barisan Nasional,PBRS,United Sabah People's Party,#FEDF00,#000080
2022,BN,National Front,Barisan Nasional,PCM,Love Malaysia Party,#DAE2EA,#000080
2022,BN,National Front,Barisan Nasional,UMNO,United Malays National Organisation,#E62020,#000080
2022,GPS,Sarawak Parties Alliance,Gabungan Parti Sarawak,PBB,United Traditional Bumiputera Party,red,#cf6061
2022,GPS,Sarawak Parties Alliance,Gabungan Parti Sarawak,PDP,Progressive Democratic Party,#6ABFE6,#cf6061
2022,GPS,Sarawak Parties Alliance,Gabungan Parti Sarawak,PRS,Sarawak People's Party,green,#cf6061
2022,GPS,Sarawak Parties Alliance,Gabungan Parti Sarawak,SUPP,Sarawak United People's Party,yellow,#cf6061
2022,GRS,Sabah People's Coalition,Gabungan Rakyat Sabah,BERSATU SABAH,Malaysian United Indigenous Party Sabah,#e20108,#91cbf2
2022,GRS,Sabah People's Coalition,Gabungan Rakyat Sabah,PBS,United Sabah Party,#ADD8E6,#91cbf2
2022,GRS,Sabah People's Coalition,Gabungan Rakyat Sabah,SAPP,Sabah Progressive Party,#F8F6BC,#91cbf2
2022,GRS,Sabah People's Coalition,Gabungan Rakyat Sabah,STAR,State Reform Party,#E8C0F2,#91cbf2
2022,GTA,Homeland Movement,Gerakan Tanah Air,BERJASA,Pan-Malaysian Islamic Front,#730947,#00678b
2022,GTA,Homeland Movement,Gerakan Tanah Air,IMAN,National Indian Muslim Alliance Party,#cd0000,#00678b
2022,GTA,Homeland Movement,Gerakan Tanah Air,PEJUANG,Homeland Fighters' Party,#006A8E,#00678b
2022,GTA,Homeland Movement,Gerakan Tanah Air,PUTRA,Parti Bumiputera Perkasa Malaysia,#d40206,#00678b
2022,multiple,,,DIRECT,,,
2022,PH,Alliance of Hope,Pakatan Harapan,AMANAH,National Trust Party,#FFA009,#ED1C24
2022,PH,Alliance of Hope,Pakatan Harapan,DAP,Democratic Action Party,#ED1C24,#ED1C24
2022,PH,Alliance of Hope,Pakatan Harapan,MUDA,Malaysian United Democratic Alliance,#000000,#ED1C24
2022,PH,Alliance of Hope,Pakatan Harapan,PKR,People's Justice Party,#00ADEF,#ED1C24
2022,PH,Alliance of Hope,Pakatan Harapan,UPKO,United Pasokmomogun Kadazandusun Murut Organisation,#ABCDFF,#ED1C24
2022,PN,National Alliance,Perikatan Nasional,BERSATU,Malaysian United Indigenous Party,#e20108,#002d51
2022,PN,National Alliance,Perikatan Nasional,GERAKAN,Malaysian People's Movement Party,#f00,#002d51
2022,PN,National Alliance,Perikatan Nasional,PAS,Pan-Malaysian Islamic Party,#009000,#002d51
2022 Incumbents,PH,Alliance of Hope,Pakatan Harapan,DAP,Democratic Action Party,#ED1C24,#ED1C24
2022 Incumbents,BN,National Front,Barisan Nasional,UMNO,United Malays National Organisation,#F21415,#000080
2022 Incumbents,PH,Alliance of Hope,Pakatan Harapan,PKR,People's Justice Party,#00ADEF,#ED1C24
2022 Incumbents,PN,National Alliance,Perikatan Nasional,BERSATU,Malaysian United Indigenous Party,#e20108,#002d51
2022 Incumbents,PN,National Alliance,Perikatan Nasional,PAS,Pan-Malaysian Islamic Party,#009000,#002d51
2022 Incumbents,GPS,Sarawak Parties Alliance,Gabungan Parti Sarawak,PBB,United Bumiputera Heritage Party,#F0E98B,#cf6061
2022 Incumbents,PH,Alliance of Hope,Pakatan Harapan,AMANAH,National Trust Party,#FFA009,#ED1C24
2022 Incumbents,GRS,Sabah People's Coalition,Gabungan Rakyat Sabah,BERSATU,Malaysian United Indigenous Party,#e20108,#91cbf2
2022 Incumbents,GTA,Homeland Movement,Gerakan Tanah Air,PEJUANG,Homeland Fighters' Party,#006A8E,#00678b
2022 Incumbents,BN,National Front,Barisan Nasional,MCA,Malaysian Chinese Association,#0000FF,#000080
2022 Incumbents,GPS,Sarawak Parties Alliance,Gabungan Parti Sarawak,PRS,Sarawak People's Party,#57D757,#cf6061
2022 Incumbents,GPS,Sarawak Parties Alliance,Gabungan Parti Sarawak,PDP,Progressive Democratic Party,#6ABFE6,#cf6061
2022 Incumbents,GRS,Sabah People's Coalition,Gabungan Rakyat Sabah,STAR,Homeland Solidarity Party,#78D7F5,#91cbf2
2022 Incumbents,BN,National Front,Barisan Nasional,MIC,Malaysian Indian Congress,#00A988,#000080
2022 Incumbents,GPS,Sarawak Parties Alliance,Gabungan Parti Sarawak,SUPP,Sarawak United People's Party,#FFFF00,#cf6061
2022 Incumbents,PH,Alliance of Hope,Pakatan Harapan,MUDA,Malaysian United Democratic Alliance,#000000,#ED1C24
2022 Incumbents,PH,Alliance of Hope,Pakatan Harapan,UPKO,United Pasokmomogun Kadazandusun Murut Organisation,#ABCDFF,#ED1C24
2022 Incumbents,BN,National Front,Barisan Nasional,PBRS,United Sabah People's Party,#FEDF00,#000080
2022 Incumbents,GRS,Sabah People's Coalition,Gabungan Rakyat Sabah,PBS,United Sabah Party,#ADD8E6,#91cbf2
,,,,,,,
