,parCode,codeId,state,ge14WonParty,ge14WonCoalition,ge14Majority,parName,zhParName,voters,incumbentName,zhName,incumbentCoalition,incumbentParty,forLiveSite
108,P149,14900,Johor,bersatu,ph,3288,Sri Gading,泗加亭,78602,Sharuddin Md Salleh,沙鲁丁,gta,pejuang,GTA
109,P033,03300,Terengganu,umno,bn,4599,Besut,勿述,111650,Idris Jusoh,依德利斯,bn,umno,BN
110,P009,00900,Kedah,pkr,ph,15200,Alor Setar,亚罗士打,105994,Chan Ming Kai,曾敏凯,ph,pkr,HARAPAN
111,P014,01400,Kedah,pkr,ph,10072,Merbok,马莫,132444,Nor Azrina Surip,诺阿兹丽娜,ph,pkr,HARAPAN
112,P147,14700,Johor,umno,bn,6341,Parit Sulong,巴力苏隆,79484,Noraini Ahmad,诺莱尼,bn,umno,BN
113,P159,15900,Johor,pkr,ph,24726,Pasir Gudang,巴西古当,198485,Hassan Abdul Karim,哈山卡林,ph,pkr,HARAPAN
114,P152,15200,Johor,dap,ph,23053,Kluang,居銮,132342,Wong Shu Qi,黄书琪,ph,dap,HARAPAN
115,P091,09100,Pahang,umno,bn,11395,Rompin,云冰,89131,Hasan Arifin,哈山阿里芬,bn,umno,BN
116,P079,07900,Pahang,umno,bn,6569,Lipis,立卑,47124,Abdul Rahman Mohamad,阿都拉曼莫哈末,bn,umno,BN
117,P010,01000,Kedah,pkr,ph,13481,Kuala Kedah,瓜拉吉打,132500,Azman Ismail,阿兹曼,ph,pkr,HARAPAN
118,P153,15300,Johor,umno,bn,6662,Sembrong,森布隆,54982,Hishammuddin Hussein,希山慕丁,bn,umno,BN
119,P005,00500,Kedah,bersatu,ph,5866,Jerlun,尤仑,67601,Mukhriz Mahathir,慕克里兹,gta,pejuang,GTA
120,P054,05400,Perak,umno,bn,5528,Gerik,宜力,47565,Vacant,悬空,,vacant,VACANT
121,P063,06300,Perak,bersatu,ph,5320,Tambun,打扪,160558,Ahmad Faizal Azumu,阿末费沙,pn,bersatu,PN
122,P050,05000,Penang,dap,ph,38171,Jelutong,日落洞,93989,RSN Rayer,雷尔,ph,dap,HARAPAN
123,P026,02600,Kelantan,umno,bn,4626,Ketereh,格底里,85281,Annuar Musa,安努亚慕沙,bn,umno,BN
124,P078,07800,Pahang,mic,bn,597,Cameron Highlands,金马仑高原,46020,Ramli Mohd Nor,南利,bn,umno,BN
125,P056,05600,Perak,umno,bn,4486,Larut,拉律,65719,Hamzah Zainudin,韩沙再努丁,pn,bersatu,PN
126,P072,07200,Perak,mic,bn,614,Tapah,打巴,61946,M Saravanan,沙拉瓦南,bn,mic,BN
127,P094,09400,Selangor,pkr,ph,13391,Hulu Selangor,乌鲁雪兰莪,154317,Leow Hsiad Hui,廖书慧,ph,pkr,HARAPAN
128,P043,04300,Penang,dap,ph,43902,Bagan,峇眼,89447,Lim Guan Eng,林冠英,ph,dap,HARAPAN
129,P113,11300,Selangor,amanah,ph,18705,Sepang,雪邦,168039,Mohamed Hanipa Maidin,哈尼巴迈丁,ph,amanah,HARAPAN
130,P015,01500,Kedah,pkr,ph,21569,Sungai Petani,双溪大年,168847,Johari Abdul,佐哈里阿都,ph,pkr,HARAPAN
131,P088,08800,Pahang,amanah,ph,1904,Temerloh,淡马鲁,106829,Mohd Anuar Mohd Tahir,安努亚,ph,amanah,HARAPAN
132,P122,12200,KL,dap,ph,56059,Seputeh,士布爹,124805,Teresa Kok Suh Sim,郭素沁,ph,dap,HARAPAN
133,P129,12900,Negeri Sembilan,bersatu,ph,200,Kuala Pilah,瓜拉庇劳,63247,Eddin Syazlee Shith,艾定,pn,bersatu,PN
134,P137,13700,Melaka,pkr,ph,8640,Hang Tuah Jaya,汉都亚再也,118493,Shamsul Iskandar Mohd Akin,三苏依斯干达,ph,pkr,HARAPAN
135,P150,15000,Johor,pkr,ph,17894,Batu Pahat,峇株巴辖,133910,Rashid Hasnon,拉昔,pn,bersatu,PN
136,P163,16300,Johor,dap,ph,32748,Kulai,古来,151247,Teo Nie Ching,张念群,ph,dap,HARAPAN
137,P040,04000,Terengganu,pas,gagasan,2163,Kemaman,甘马挽,139423,Che Alias Hamid,仄阿丽亚斯,pn,pas,PN
138,P016,01600,Kedah,umno,bn,1074,Baling,华玲,132099,Abdul Azeez Abdul Rahim,阿都阿兹,bn,umno,BN
139,P003,00300,Perlis,umno,bn,4856,Arau,亚娄,60876,Shahidan Kassim,沙希旦,bn,umno,BN
140,P034,03400,Terengganu,pas,gagasan,2802,Setiu,士兆,107294,Shaharizukirnain Abd Kadir,沙哈里祖基南,pn,pas,PN
141,P126,12600,Negeri Sembilan,umno,bn,2045,Jelebu,日叻务,59561,Jalaluddin Alias,加拉鲁丁,bn,umno,BN
142,P053,05300,Penang,pkr,ph,6464,Balik Pulau,浮罗山背,80264,Muhammad Bakhtiar Wan Chik,莫哈末峇迪亚,ph,pkr,HARAPAN
143,P066,06600,Perak,dap,ph,43868,Batu Gajah,华都牙也,111896,V Sivakumar,西华古玛,ph,dap,HARAPAN
144,P103,10300,Selangor,dap,ph,47635,Puchong,蒲种,152861,Gobind Singh Deo,哥宾星,ph,dap,HARAPAN
145,P089,08900,Pahang,dap,ph,2032,Bentong,文冬,87058,Wong Tack,黄德,ph,dap,HARAPAN
146,P001,00100,Perlis,umno,bn,1438,Padang Besar,巴当勿刹,60192,Zahidi Zainul Abidin,扎希迪,bn,umno,BN
147,P022,02200,Kelantan,pas,gagasan,13075,Pasir Mas,巴西马,94544,Ahmad Fadhli Shaari,阿末法里,pn,pas,PN
148,P145,14500,Johor,dap,ph,23211,Bakri,峇吉里,97335,Yeo Bee Yin,杨美盈,ph,dap,HARAPAN
149,P116,11600,KL,pkr,ph,24238,Wangsa Maju,旺沙玛珠,120323,Tan Yee Kew,陈仪乔,ph,pkr,HARAPAN
150,P046,04600,Penang,dap,ph,33553,Batu Kawan,峇都加湾,88812,Kasthuriraani Patto,卡斯杜丽,ph,dap,HARAPAN
151,P069,06900,Perak,umno,bn,6320,Parit,巴力,47915,Mohd Nizar Zakaria,莫哈末尼沙,bn,umno,BN
152,P049,04900,Penang,dap,ph,29599,Tanjong,丹绒,52803,Chow Kon Yeow,曹观友,ph,dap,HARAPAN
153,P108,10800,Selangor,amanah,ph,33849,Shah Alam,沙亚南,165744,Khalid Abd Samad,卡立沙末,ph,amanah,HARAPAN
154,P102,10200,Selangor,dap,ph,68768,Bangi,万宜,303430,Ong Kian Ming,王建民,ph,dap,HARAPAN
155,P157,15700,Johor,umno,bn,11417,Pengerang,边加兰,55316,Azalina Othman Said,阿莎丽娜,bn,umno,BN
156,P144,14400,Johor,pkr,ph,8666,Ledang,礼让,104577,Syed Ibrahim Syed Nor,赛依布拉欣,ph,pkr,HARAPAN
157,P096,09600,Selangor,amanah,ph,8498,Kuala Selangor,瓜拉雪兰莪,102951,Dzulkefly Ahmad,祖基菲里,ph,amanah,HARAPAN
158,P135,13500,Melaka,bersatu,ph,6980,Alor Gajah,亚罗牙也,93311,Mohd Redzuan Md Yusof,礼端,pn,bersatu,PN
159,P039,03900,Terengganu,pas,gagasan,13119,Dungun,龙运,115559,Wan Hassan Mohd Ramli,旺哈山,pn,pas,PN
160,P077,07700,Perak,pkr,ph,5358,Tanjong Malim,丹绒马林,93873,Chang Lih Kang,郑立慷,ph,pkr,HARAPAN
161,P008,00800,Kedah,amanah,ph,5558,Pokok Sena,波各先那,114838,Mahfuz Omar,玛夫兹,ph,amanah,HARAPAN
162,P012,01200,Kedah,pas,gagasan,539,Jerai,日莱,105001,Sabri Azit,莎碧莉,pn,pas,PN
163,P165,16500,Johor,bersatu,ph,524,Tanjung Piai,丹绒比艾,70679,Wee Jeck Seng,黄日升,bn,mca,BN
164,P118,11800,KL,pkr,ph,14372,Setiawangsa,斯迪亚旺沙,95753,Nik Nazmi Nik Ahmad,聂纳兹米,ph,pkr,HARAPAN
165,P023,02300,Kelantan,pas,gagasan,6150,Rantau Panjang,兰斗班让,93248,Siti Zailah Mohd Yusoff,西蒂再拉,pn,pas,PN
166,P183,18300,Sabah,umno,bn,7115,Beluran,必鲁兰,44727,Ronald Kiandee,罗纳建迪,grs,bersatu,GRS
167,P171,17100,Sabah,warisan,ph allies,12984,Sepanggar,昔邦加,108370,Mohd Azis Jamman,阿基兹,,warisan,WARISAN
168,P189,18900,Sabah,warisan,ph allies,20674,Semporna,仙本那,72169,Shafie Apdal,沙菲益阿达,,warisan,WARISAN
169,P178,17800,Sabah,umno,bn,852,Sipitang,实必丹,45871,Yamani Hafez Musa,亚玛尼,grs,bersatu,GRS
170,P191,19100,Sabah,warisan,ph allies,3187,Kalabakan,加拉巴干,83970,Ma'Mun Sulaiman,马门苏莱曼,,warisan,WARISAN
171,P177,17700,Sabah,umno,bn,3331,Beaufort,保佛,43248,Azizah Mohd Dun,阿兹扎,grs,bersatu,GRS
172,P173,17300,Sabah,pkr,ph,2339,Putatan,布达丹,63173,Awang Husaini Sahari,阿旺胡赛尼,ph,pkr,HARAPAN
173,P167,16700,Sabah,umno,bn,1359,Kudat,古达,75724,Abdul Rahim Bakri,阿都拉欣,grs,bersatu,GRS
174,P184,18400,Sabah,umno,bn,678,Libaran,里巴兰,72332,Zakaria Mohd Edris,查卡里亚,grs,bersatu,GRS
175,P188,18800,Sabah,warisan,ph allies,6401,Lahad Datu,诗南,100256,Mohamaddin Ketapi,莫哈末丁,,pbm,PBM
176,P180,18000,Sabah,star,gsb,45,Keningau,根地咬,87588,Jeffrey Kitingan,杰菲里,grs,star,GRS
177,P172,17200,Sabah,dap,ph,24086,Kota Kinabalu,亚庇,74059,Chan Foong Hin,陈泓缣,ph,dap,HARAPAN
178,P186,18600,Sabah,dap,ph,10098,Sandakan,山打根,55542,Vivian Wong Shir Yee,黄诗怡,ph,dap,HARAPAN
179,P182,18200,Sabah,pbrs,bn,2314,Pensiangan,冰厢岸,55672,Arthur Joseph Kurup,阿图,bn,pbrs,BN
180,P185,18500,Sabah,warisan,ph allies,4619,Batu Sapi,三脚石,43916,Vacant,悬空,,vacant,VACANT
181,P175,17500,Sabah,warisan,ph allies,325,Papar,吧巴,59942,Ahmad Hassan,阿末哈山,,warisan,WARISAN
182,P187,18700,Sabah,umno,bn,9478,Kinabatangan,京那巴当岸,44773,Bung Moktar Radin,邦莫达,bn,umno,BN
183,P190,19000,Sabah,pkr,ph,4727,Tawau,斗湖,87477,Christina Liew Chin Jin,刘静芝,ph,pkr,HARAPAN
184,P170,17000,Sabah,upko,bn,7624,Tuaran,斗亚兰,83419,Wilfred Madius Tangau,威菲利,ph,upko,HARAPAN
185,P179,17900,Sabah,pkr,ph,1076,Ranau,兰瑙,66517,Jonathan Yasin,佐纳登,grs,bersatu,GRS
186,P181,18100,Sabah,dap,ph,1133,Tenom,丹南,42045,Noorita Sual,诺丽达,ph,dap,HARAPAN
187,P169,16900,Sabah,warisan,ph allies,4262,Kota Belud,哥打毛律,79885,Isnaraissah Munirah Majilis,慕丽娜,,warisan,WARISAN
188,P174,17400,Sabah,warisan,ph allies,23473,Penampang,兵南邦,77214,Darell Leiking,雷京,,warisan,WARISAN
189,P176,17600,Sabah,umno,bn,156,Kimanis,金马利,40763,Mohamad Alamin,莫哈末阿拉敏,bn,umno,BN
190,P168,16800,Sabah,pbs,bn,1774,Kota Marudu,马鲁都,80735,Maximus Ongkili,西慕翁基利,grs,pbs,GRS
191,P199,19900,Sarawak,supp,bn,9905,Serian,西连,65273,Richard Riot Jaem,理查烈,gps,supp,GPS
192,P197,19700,Sarawak,pbb,bn,16992,Kota Samarahan,哥打三马拉汉,82229,Rubiah Wang,鲁比亚,gps,pbb,GPS
193,P202,20200,Sarawak,prs,bn,5820,Sri Aman,斯里阿曼,50164,Masir Kujat,马希尔,,independent,INDEPENDENT
194,P209,20900,Sarawak,bebas,,1931,Julau,如娄,34850,Larry Sng Wei Shien,孙伟瑄,,pbm,PBM
195,P201,20100,Sarawak,pbb,bn,10277,Batang Lupar,巴当鲁巴,43072,Rohani Abdul Karim,罗哈妮,gps,pbb,GPS
196,P203,20300,Sarawak,bebas,,1059,Lubok Antu,鲁勃安都,28995,Jugah Muyang,朱加慕央,,independent,INDEPENDENT
197,P211,21100,Sarawak,dap,ph,14546,Lanang,南兰,87356,Alice Lau Kiong Yieng,刘强燕,ph,dap,HARAPAN
198,P221,22100,Sarawak,pbb,bn,7710,Limbang,林梦,41999,Hasbi Habibollah,哈斯比,gps,pbb,GPS
199,P194,19400,Sarawak,pbb,bn,15017,Petra Jaya,柏特拉再也,109809,Fadillah Yusof,法迪拉,gps,pbb,GPS
200,P217,21700,Sarawak,spdp,bn,7022,Bintulu,民都鲁,113599,Tiong King Sing,张庆信,gps,pdp,GPS
201,P193,19300,Sarawak,pbb,bn,19485,Santubong,山都望,79540,Wan Junaidi Tuanku Jaafar,旺朱乃迪,gps,pbb,GPS
202,P205,20500,Sarawak,pkr,ph,989,Saratok,砂拉卓,44531,Ali Biju,阿里比祖,pn,bersatu,PN
203,P198,19800,Sarawak,pkr,ph,4005,Puncak Borneo,婆罗洲高原,79969,Willie Mongin,威利,gps,pbb,GPS
204,P206,20600,Sarawak,pbb,bn,8674,Tanjung Manis,丹绒玛尼,32948,Yusof Abdul Wahab,尤索夫阿都瓦哈,gps,pbb,GPS
205,P216,21600,Sarawak,prs,bn,6315,Hulu Rajang,乌鲁拉让,43438,Ugak Kumbong,乌格,gps,prs,GPS
206,P204,20400,Sarawak,pbb,bn,8116,Betong,木中,41743,Robert Lawson Chuat,罗柏,gps,pbb,GPS
207,P213,21300,Sarawak,pbb,bn,7000,Mukah,木胶,46964,Hanifah Hajar Taib,哈妮法,gps,pbb,GPS
208,P214,21400,Sarawak,pkr,ph,486,Selangau,实兰沟,45743,Baru Bian,巴鲁比安,,psb,PSB
209,P220,22000,Sarawak,spdp,bn,1990,Baram,巴南,59535,Anyi Ngau,安义尧,gps,pdp,GPS
210,P218,21800,Sarawak,pbb,bn,3676,Sibuti,实务地,58522,Lukanisman Awang Sauni,鲁卡尼斯曼,gps,pbb,GPS
211,P222,22200,Sarawak,pbb,bn,6000,Lawas,老越,33655,Henry Sum Agong,亨利,gps,pbb,GPS
212,P210,21000,Sarawak,prs,bn,4312,Kanowit,加拿逸,30988,Aaron Ago Dagang,艾伦,gps,prs,GPS
213,P208,20800,Sarawak,dap,ph,2570,Sarikei,泗里街,55018,Wong Ling Biu,黄灵彪,ph,dap,HARAPAN
214,P200,20000,Sarawak,pbb,bn,12328,Batang Sadong,峇丹砂隆,32640,Nancy Shukri,南茜,gps,pbb,GPS
215,P212,21200,Sarawak,dap,ph,11422,Sibu,诗巫,105875,Oscar Ling Chai Yew,林财耀,ph,dap,HARAPAN
216,P215,21500,Sarawak,pbb,bn,10479,Kapit,加帛,45210,Alexander Nanta Linggi,亚历山大南塔,gps,pbb,GPS
217,P219,21900,Sarawak,pkr,ph,13663,Miri,美里,143229,Michael Teo Yu Keng,张有庆,ph,pkr,HARAPAN
218,P207,20700,Sarawak,pbb,bn,8495,Igan,依干,28290,Ahmad Johnie Zawawi,阿末佐尼,gps,pbb,GPS
219,P195,19500,Sarawak,dap,ph,35973,Bandar Kuching,古晋,109710,Kelvin Yii Lee Wuen,俞利文,ph,dap,HARAPAN
220,P192,19200,Sarawak,dap,ph,3024,Mas Gading,玛士加丁,47171,Mordi Bimol,莫迪,ph,dap,HARAPAN
221,P196,19600,Sarawak,dap,ph,14221,Stampin,实旦宾,121009,Chong Chieng Jen,张健仁,ph,dap,HARAPAN
